,Game Name,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update
33,FIFA 13    ,PS3,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,8.01m,1.07m,5.13m,0.13m,1.68m,25th Sep 12  ,06th Apr 18
34,The Sims 3    ,PC,Electronic Arts  ,EA Redwood Shores  ,8.8,8.5,N/A  ,7.96m,1.01m,6.46m,,0.50m,02nd Jun 09  ,
35,Grand Theft Auto: Liberty City Stories    ,PSP,Rockstar Games  ,Rockstar Leeds  ,N/A  ,8.8,N/A  ,7.72m,2.90m,2.83m,0.24m,1.74m,25th Oct 05  ,
36,Call of Duty: Advanced Warfare    ,PS4,Activision  ,Sledgehammer Games  ,N/A  ,8.5,N/A  ,7.53m,2.84m,3.34m,0.14m,1.22m,04th Nov 14  ,04th Jan 18
37,Call of Duty: World at War    ,X360,Activision  ,Treyarch  ,8.8,8.5,7.8,7.50m,4.88m,1.91m,,0.71m,10th Nov 08  ,
38,Call of Duty: Black Ops 3    ,XOne,Activision  ,Treyarch  ,N/A  ,N/A  ,N/A  ,7.37m,4.63m,2.04m,0.02m,0.68m,06th Nov 15  ,14th Jan 18
39,Battlefield 3    ,X360,Electronic Arts  ,Dice  ,N/A  ,8.5,N/A  ,7.35m,4.47m,2.12m,0.06m,0.69m,25th Oct 11  ,
40,Battlefield 1    ,PS4,Electronic Arts  ,EA DICE  ,N/A  ,9.1,N/A  ,7.26m,2.20m,3.65m,0.29m,1.12m,21st Oct 16  ,24th Mar 18
41,Battlefield 3    ,PS3,Electronic Arts  ,Dice  ,N/A  ,8.5,N/A  ,7.21m,2.86m,2.94m,0.35m,1.07m,25th Oct 11  ,
42,Need for Speed Underground    ,PS2,Electronic Arts  ,EA Black Box  ,N/A  ,8.6,N/A  ,7.20m,3.27m,2.83m,0.08m,1.02m,17th Nov 03  ,
43,Need for Speed Underground 2    ,PS2,Electronic Arts  ,EA Black Box  ,N/A  ,8.3,N/A  ,6.90m,2.71m,3.02m,0.08m,1.09m,15th Nov 04  ,
44,Just Dance 4    ,Wii,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,6.89m,4.05m,2.21m,,0.62m,09th Oct 12  ,31st Jan 18
45,Medal of Honor: Frontline    ,PS2,Electronic Arts  ,EA Los Angeles  ,N/A  ,9,N/A  ,6.83m,2.93m,2.75m,0.17m,0.99m,28th May 02  ,
46,Uncharted 2: Among Thieves    ,PS3,Sony Computer Entertainment  ,Naughty Dog  ,9.2,9.5,9.6,6.74m,3.28m,2.22m,0.21m,1.02m,13th Oct 09  ,
47,Call of Duty 4: Modern Warfare    ,PS3,Activision  ,Infinity Ward  ,N/A  ,9.5,9.6,6.72m,3.13m,2.27m,0.28m,1.04m,05th Nov 07  ,
48,FIFA Soccer 12    ,PS3,EA Sports  ,EA Canada  ,N/A  ,9.2,N/A  ,6.65m,0.84m,4.33m,0.11m,1.37m,27th Sep 11  ,
49,FIFA 14    ,PS3,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,6.61m,0.79m,4.77m,0.07m,0.98m,24th Sep 13  ,15th Sep 18
50,Red Dead Redemption    ,PS3,Rockstar Games  ,Rockstar San Diego  ,9.1,9.5,N/A  ,6.57m,2.82m,2.58m,0.17m,1.00m,11th Oct 11  ,
51,Assassin's Creed III    ,PS3,Ubisoft  ,Ubisoft Montreal  ,9.2,8.8,N/A  ,6.50m,2.65m,2.61m,0.16m,1.08m,30th Oct 12  ,12th Apr 18
52,Red Dead Redemption    ,X360,Rockstar Games  ,Rockstar San Diego  ,9.1,9.5,10,6.50m,3.77m,2.03m,0.09m,0.60m,18th May 10  ,
53,The Elder Scrolls V: Skyrim    ,PS3,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,9,N/A  ,6.49m,2.57m,2.68m,0.25m,0.99m,11th Nov 11  ,01st Apr 18
54,Minecraft    ,PS4,Sony Computer Entertainment  ,Mojang  ,N/A  ,9.4,N/A  ,6.33m,1.89m,3.13m,0.35m,0.96m,07th Oct 14  ,14th Sep 18
55,FIFA 15    ,PS4,EA Sports  ,EA Canada  ,8.8,8.1,N/A  ,6.32m,0.83m,4.49m,0.05m,0.94m,23rd Sep 14  ,23rd Mar 18
56,Driver    ,PS,GT Interactive  ,Reflections Interactive  ,N/A  ,8.5,N/A  ,6.27m,3.11m,2.80m,0.02m,0.33m,30th Jun 99  ,
57,Call of Duty: WWII    ,XOne,Activision  ,Sledgehammer Games  ,N/A  ,N/A  ,N/A  ,6.23m,3.75m,1.91m,,0.57m,03rd Nov 17  ,30th Dec 17
58,Minecraft    ,PS3,Sony Computer Entertainment America  ,Mojang  ,N/A  ,N/A  ,N/A  ,6.05m,2.21m,2.86m,,0.99m,16th May 14  ,05th Aug 18
59,Red Dead Redemption 2    ,XOne,Rockstar Games  ,Rockstar Games  ,N/A  ,N/A  ,N/A  ,5.77m,3.76m,1.47m,,0.54m,26th Oct 18  ,02nd Nov 18
60,Destiny    ,PS4,Activision  ,Bungie  ,7.5,N/A  ,N/A  ,5.76m,2.53m,2.13m,0.16m,0.94m,09th Sep 14  ,12th Jan 18
61,Tekken 2    ,PS,Namco  ,Namco  ,N/A  ,9.1,N/A  ,5.74m,2.26m,1.89m,1.36m,0.23m,25th Aug 96  ,
62,Uncharted: The Nathan Drake Collection    ,PS4,Sony Computer Entertainment  ,Bluepoint Games  ,N/A  ,N/A  ,N/A  ,5.70m,2.55m,2.11m,0.10m,0.94m,07th Oct 15  ,
63,LEGO Star Wars: The Complete Saga    ,Wii,LucasArts  ,Traveller's Tales  ,N/A  ,8,N/A  ,5.66m,3.57m,1.57m,,0.52m,06th Nov 07  ,
64,Cooking Mama    ,DS,Majesco  ,Office Create  ,N/A  ,6.6,N/A  ,5.66m,3.09m,1.92m,0.07m,0.58m,12th Sep 06  ,
65,Assassin's Creed II    ,PS3,Ubisoft  ,Ubisoft Montreal  ,9,9,N/A  ,5.57m,2.54m,1.95m,0.21m,0.86m,17th Nov 09  ,03rd Jan 18
66,Assassin's Creed    ,X360,Ubisoft  ,Ubisoft Montreal  ,7.5,8.2,8,5.55m,3.28m,1.64m,0.07m,0.56m,13th Nov 07  ,
67,Batman: Arkham City    ,PS3,Warner Bros. Interactive  ,Rocksteady Studios  ,9.5,9.6,N/A  ,5.54m,2.72m,1.89m,0.11m,0.82m,18th Oct 11  ,
68,Forza Motorsport 3    ,X360,Microsoft Game Studios  ,Turn 10 Studios  ,N/A  ,9.2,9.8,5.50m,2.99m,1.90m,0.10m,0.51m,27th Oct 09  ,
69,Minecraft    ,XOne,Microsoft Studios  ,Mojang  ,N/A  ,N/A  ,N/A  ,5.43m,3.23m,1.71m,,0.49m,18th Nov 14  ,14th Sep 18
70,Call of Duty: World at War    ,PS3,Activision  ,Treyarch  ,8.8,8.4,N/A  ,5.43m,2.75m,1.84m,,0.84m,10th Nov 08  ,
71,Crash Bandicoot: The Wrath of Cortex    ,PS2,Universal Interactive  ,Traveller's Tales  ,N/A  ,6.9,N/A  ,5.42m,2.07m,2.29m,0.24m,0.82m,29th Oct 01  ,
72,Final Fantasy XIII    ,PS3,Square Enix  ,Square Enix  ,9,8,9.2,5.35m,1.75m,1.23m,1.87m,0.51m,09th Mar 10  ,
73,Assassin's Creed III    ,X360,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,5.31m,3.13m,1.71m,0.03m,0.45m,30th Oct 12  ,07th Feb 18
74,Assassin's Creed II    ,X360,Ubisoft  ,Ubisoft Montreal  ,9,9.1,N/A  ,5.30m,3.14m,1.55m,0.08m,0.52m,17th Nov 09  ,
75,Tomb Raider II    ,PS,Eidos Interactive  ,Core Design Ltd.  ,N/A  ,7.6,N/A  ,5.24m,2.30m,2.46m,0.20m,0.28m,31st Oct 97  ,
76,Madden NFL 2004    ,PS2,EA Sports  ,EA Tiburon  ,N/A  ,9.5,N/A  ,5.23m,4.26m,0.26m,0.01m,0.71m,12th Aug 03  ,
77,Call of Duty: Advanced Warfare    ,XOne,Activision  ,Sledgehammer Games  ,N/A  ,8.3,N/A  ,5.22m,3.25m,1.49m,0.01m,0.48m,04th Nov 14  ,01st Jan 18
78,Medal of Honor: Rising Sun    ,PS2,Electronic Arts  ,EA Los Angeles  ,N/A  ,5.9,N/A  ,5.13m,1.98m,2.23m,0.13m,0.80m,11th Nov 03  ,
79,Battlefield 1    ,XOne,Electronic Arts  ,EA DICE  ,N/A  ,9.3,N/A  ,5.13m,3.37m,1.26m,0.02m,0.48m,21st Oct 16  ,24th Mar 18
80,Microsoft Flight Simulator    ,PC,Microsoft  ,Microsoft  ,N/A  ,7,N/A  ,5.12m,3.22m,1.69m,,0.20m,31st Oct 96  ,
81,Guitar Hero II    ,PS2,RedOctane  ,Harmonix Music Systems  ,N/A  ,9.2,N/A  ,5.12m,3.81m,0.63m,,0.68m,07th Nov 06  ,
82,FIFA 13    ,X360,EA Sports  ,EA Canada  ,9.3,N/A  ,N/A  ,5.11m,1.10m,3.49m,0.03m,0.50m,25th Sep 12  ,06th Apr 18
83,Resident Evil 5    ,PS3,Capcom  ,Capcom  ,8.4,8.6,8.8,5.10m,1.96m,1.42m,1.08m,0.64m,13th Mar 09  ,
84,Fable III    ,X360,Microsoft Game Studios  ,Lionhead Studios  ,9,7.8,N/A  ,5.10m,3.59m,1.09m,0.05m,0.37m,26th Oct 10  ,
85,Mario & Sonic at the Olympic Games    ,DS,Sega  ,Sega  ,N/A  ,7,N/A  ,5.10m,1.63m,2.46m,0.44m,0.57m,22nd Jan 08  ,
