,Game Name,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update
1974,Mega Man    ,NES,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,0.81m,0.45m,0.08m,0.27m,0.01m,01st Dec 87  ,
1975,Pro Evolution Soccer 2010    ,X360,Konami  ,Konami  ,N/A  ,7,N/A  ,0.81m,0.12m,0.58m,0.03m,0.08m,03rd Nov 09  ,
1976,Dragon Quest Heroes: The World's Tree Woe and the Blight Below    ,PS4,Square Enix  ,Square Enix  ,N/A  ,N/A  ,N/A  ,0.81m,0.21m,0.14m,0.39m,0.07m,13th Oct 15  ,15th Jan 18
1977,LEGO Dimensions    ,PS3,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,0.81m,0.26m,0.41m,,0.13m,27th Sep 15  ,19th Mar 18
1978,Tom Clancy's Rainbow Six 3    ,PS2,Ubisoft  ,Ubisoft Montreal / Red Storm Entertainment  ,N/A  ,N/A  ,N/A  ,0.81m,0.40m,0.31m,,0.10m,24th Mar 04  ,
1979,Disney's The Little Mermaid: Ariel's Undersea Adventure    ,DS,Buena Vista  ,Gorilla Systems  ,N/A  ,N/A  ,N/A  ,0.81m,0.72m,0.03m,,0.06m,02nd Oct 06  ,
1980,Battle of Giants: Dinosaurs    ,DS,Ubisoft  ,Ubisoft Quebec  ,N/A  ,N/A  ,N/A  ,0.81m,0.37m,0.35m,,0.08m,21st Oct 08  ,
1981,SingStar Vol. 2    ,PS3,Sony Computer Entertainment  ,SCEE London Studio  ,N/A  ,N/A  ,N/A  ,0.81m,0.29m,0.39m,,0.12m,28th Oct 08  ,
1982,NCAA Football 10    ,PS3,EA Sports  ,EA Tiburon  ,N/A  ,8.1,N/A  ,0.81m,0.75m,,,0.06m,14th Jul 09  ,
1983,Professor Layton and the Azran Legacy    ,3DS,Nintendo  ,Level 5  ,N/A  ,8,N/A  ,0.81m,,0.53m,0.25m,0.03m,28th Feb 14  ,07th Jan 18
1984,EarthBound    ,SNES,Nintendo  ,Ape Studios / HAL Laboratory  ,N/A  ,N/A  ,N/A  ,0.81m,,,0.81m,,01st Jun 95  ,
1985,Need for Speed Rivals    ,X360,Electronic Arts  ,Ghost Games  ,N/A  ,N/A  ,N/A  ,0.81m,0.38m,0.35m,0.01m,0.07m,19th Nov 13  ,16th Jan 18
1986,The Next Tetris    ,PS,Atari  ,Blue Planet Software  ,N/A  ,N/A  ,N/A  ,0.81m,0.45m,0.31m,,0.05m,31st May 99  ,
1987,Guitar Hero: Warriors of Rock    ,PS3,Activision  ,Neversoft Entertainment  ,N/A  ,N/A  ,N/A  ,0.81m,0.33m,0.35m,,0.13m,28th Sep 10  ,
1988,World Soccer Jikkyou Winning Eleven 3: World Cup France '98    ,PS,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,0.81m,,,0.75m,0.05m,28th May 98  ,
1989,Final Fantasy XI: Wings of the Goddess    ,PS2,Square Enix  ,Square Enix  ,N/A  ,N/A  ,N/A  ,0.81m,0.35m,0.27m,0.09m,0.09m,20th Nov 07  ,
1990,The Sims 2    ,PS2,Electronic Arts  ,Maxis  ,N/A  ,N/A  ,N/A  ,0.81m,0.67m,0.03m,,0.11m,24th Oct 05  ,
1991,Golden Sun: Dark Dawn    ,DS,Nintendo  ,Camelot Software Planning  ,N/A  ,8,N/A  ,0.81m,0.53m,0.10m,0.13m,0.05m,29th Nov 10  ,
1992,Who Wants to be a Millionaire    ,PS,Eidos Interactive  ,Hothouse Creations  ,N/A  ,N/A  ,N/A  ,0.80m,0.45m,0.30m,,0.05m,29th Sep 00  ,
1993,Ben 10: Alien Force    ,Wii,D3 Publisher  ,Monkey Bar Games  ,N/A  ,N/A  ,N/A  ,0.80m,0.52m,0.21m,,0.07m,28th Oct 08  ,
1994,Star Wars Rogue Squadron III: Rebel Strike    ,GC,LucasArts  ,Factor 5  ,N/A  ,8.3,N/A  ,0.80m,0.62m,0.16m,,0.02m,15th Oct 03  ,
1995,Moto Racer    ,PS,Electronic Arts  ,Delphine Software International  ,N/A  ,N/A  ,N/A  ,0.80m,0.45m,0.30m,,0.05m,30th Nov 97  ,
1996,Hitman: Contracts    ,PS2,Eidos Interactive  ,IO Interactive  ,N/A  ,N/A  ,N/A  ,0.80m,0.39m,0.31m,,0.10m,20th Apr 04  ,
1997,The 7th Guest    ,PC,Virgin Interactive  ,Trilobyte  ,N/A  ,N/A  ,N/A  ,0.80m,0.03m,0.77m,,,01st Jan 93  ,
1998,Deca Sports 2    ,Wii,Hudson Soft  ,Hudson Soft  ,N/A  ,N/A  ,N/A  ,0.80m,0.31m,0.34m,0.09m,0.07m,29th Sep 09  ,
1999,Final Fantasy Anthology    ,PS,Square EA  ,SquareSoft  ,N/A  ,8.6,N/A  ,0.80m,0.45m,0.30m,,0.05m,30th Sep 99  ,
2000,DiRT 2    ,X360,Codemasters  ,Codemasters  ,8.5,8.8,N/A  ,0.80m,0.32m,0.39m,0.00m,0.09m,08th Sep 09  ,
2001,Star Wars The Clone Wars: Republic Heroes    ,Wii,LucasArts  ,Krome Studios  ,N/A  ,4.8,N/A  ,0.80m,0.43m,0.30m,,0.07m,06th Oct 09  ,
2002,The Sims 2: Pets    ,PSP,Electronic Arts  ,Maxis  ,N/A  ,5.8,N/A  ,0.80m,0.19m,0.39m,,0.22m,14th Dec 06  ,
2003,Pro Evolution Soccer 2010    ,PSP,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,0.80m,0.09m,0.33m,0.20m,0.18m,10th Nov 09  ,
2004,Prince of Persia: Warrior Within    ,XB,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,0.80m,0.48m,0.28m,,0.04m,30th Nov 04  ,
2005,Mario & Sonic at the Sochi 2014 Olympic Winter Games    ,WiiU,Nintendo  ,Sega Sports R&D  ,N/A  ,5.9,N/A  ,0.80m,0.37m,0.23m,0.14m,0.06m,15th Nov 13  ,31st Jan 18
2006,Guitar Hero: Metallica    ,X360,Activision  ,Neversoft Entertainment  ,N/A  ,8.5,N/A  ,0.80m,0.52m,0.20m,,0.07m,29th Mar 09  ,
2007,Hasbro Family Game Night 3    ,Wii,Electronic Arts  ,EA Bright Light  ,N/A  ,N/A  ,N/A  ,0.80m,0.46m,0.27m,,0.07m,26th Oct 10  ,
2008,The Amazing Spider-Man (2012)    ,PS3,Activision  ,Beenox  ,N/A  ,7.3,N/A  ,0.80m,0.31m,0.36m,,0.12m,26th Jun 12  ,15th Mar 18
2009,Super Robot Taisen α    ,PS,Banpresto  ,Banpresto  ,N/A  ,N/A  ,N/A  ,0.80m,,,0.75m,0.05m,25th May 00  ,
2010,WWE 2K15    ,PS3,2K Sports  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,0.80m,0.37m,0.29m,,0.13m,28th Oct 14  ,06th Jan 18
2011,Need for Speed: Hot Pursuit 2    ,GC,Electronic Arts  ,EA Seattle  ,N/A  ,7.5,N/A  ,0.80m,0.68m,0.09m,,0.02m,01st Oct 02  ,
2012,PES 2009: Pro Evolution Soccer    ,PSP,Konami  ,Konami  ,N/A  ,7.3,N/A  ,0.80m,0.04m,0.33m,0.26m,0.17m,11th Nov 08  ,
2013,Capcom's Soccer Shootout    ,SNES,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,0.80m,,,0.80m,,01st Jun 94  ,
2014,Rayman Raving Rabbids 2    ,DS,Ubisoft  ,Ubisoft Paris  ,N/A  ,N/A  ,N/A  ,0.80m,0.73m,0.01m,,0.06m,13th Nov 07  ,
2015,Alien    ,2600,20th Century Fox Video Games  ,20th Century Fox Video Games  ,N/A  ,N/A  ,N/A  ,0.79m,0.74m,0.04m,,0.01m,01st Jan 82  ,
2016,Dragon's Dogma    ,X360,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,0.79m,0.42m,0.24m,0.07m,0.06m,22nd May 12  ,29th Jan 19
2017,Invizimals    ,PSP,Sony Computer Entertainment  ,Novarama  ,N/A  ,6.6,N/A  ,0.79m,0.17m,0.51m,,0.11m,12th Oct 10  ,
2018,Guitar Hero: Aerosmith    ,PS2,Activision  ,BudCat Creations  ,N/A  ,N/A  ,N/A  ,0.79m,0.61m,0.00m,,0.18m,29th Jun 08  ,
2019,Assassin's Creed The Ezio Collection    ,PS4,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,0.79m,0.14m,0.52m,0.02m,0.12m,15th Nov 16  ,14th Jan 18
2020,Pro Evolution Soccer 2011    ,PSP,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,0.79m,0.05m,0.30m,0.29m,0.16m,02nd Nov 10  ,
2021,The Sims 2: Castaway    ,PSP,Electronic Arts  ,Maxis  ,N/A  ,N/A  ,N/A  ,0.79m,0.08m,0.46m,,0.25m,22nd Oct 07  ,
2022,Ridge Racer    ,PS,Namco  ,Namco  ,N/A  ,9,N/A  ,0.79m,,,0.74m,0.05m,09th Sep 95  ,
2023,All Star Cheer Squad    ,Wii,THQ  ,Gorilla Systems  ,N/A  ,N/A  ,N/A  ,0.79m,0.43m,0.29m,,0.08m,27th Oct 08  ,
2024,Dead Island: Riptide    ,X360,Deep Silver  ,Techland  ,N/A  ,5.6,N/A  ,0.79m,0.44m,0.27m,0.01m,0.07m,23rd Apr 13  ,15th Mar 18
2025,Harvest Moon: A Wonderful Life    ,GC,Natsume  ,Marvelous Interactive  ,N/A  ,8.2,N/A  ,0.79m,0.61m,0.16m,,0.02m,16th Mar 04  ,
2026,Darksiders II    ,X360,THQ  ,Vigil Games  ,8.4,8.6,N/A  ,0.79m,0.45m,0.27m,0.00m,0.07m,14th Aug 12  ,07th Feb 18
2027,Motocross Mania    ,PS,Take-Two Interactive  ,Deibus Studios  ,N/A  ,N/A  ,N/A  ,0.79m,0.44m,0.30m,,0.05m,09th Jul 01  ,
2028,Prototype 2    ,X360,Activision  ,Radical Entertainment  ,N/A  ,N/A  ,N/A  ,0.79m,0.48m,0.24m,,0.06m,24th Apr 12  ,
2029,NBA 2K16    ,PS3,2K Sports  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,0.79m,0.49m,0.12m,0.05m,0.13m,29th Sep 15  ,28th Mar 18
2030,Band Hero    ,X360,Activision  ,Neversoft Entertainment  ,8.3,7.6,N/A  ,0.79m,0.51m,0.21m,,0.07m,03rd Nov 09  ,
2031,Mega Man 5    ,NES,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,0.79m,0.39m,0.07m,0.32m,0.01m,01st Dec 92  ,
2032,WCW Mayhem    ,N64,Electronic Arts  ,Kodiak Interactive  ,N/A  ,N/A  ,N/A  ,0.79m,0.63m,0.15m,,0.01m,22nd Sep 99  ,
2033,Dragon Quest Monsters 2    ,3DS,Square Enix  ,TOSE Software  ,N/A  ,N/A  ,N/A  ,0.79m,,,0.79m,,06th Feb 14  ,07th Jan 18
2034,Dance Dance Revolution SuperNOVA 2    ,PS2,Konami  ,Konami Computer Entertainment Tokyo  ,N/A  ,N/A  ,N/A  ,0.79m,0.64m,0.03m,0.02m,0.10m,25th Sep 07  ,
2035,Armored Core 2    ,PS2,Agetec  ,From Software  ,N/A  ,N/A  ,N/A  ,0.79m,0.28m,0.22m,0.23m,0.07m,24th Oct 00  ,
2036,The Godfather II    ,X360,Electronic Arts  ,EA Redwood Shores  ,8.2,6.2,N/A  ,0.79m,0.47m,0.23m,0.01m,0.08m,07th Apr 09  ,
2037,Major League Baseball Featuring Ken Griffey Jr    ,N64,Nintendo  ,Angel Studios  ,N/A  ,N/A  ,N/A  ,0.79m,0.75m,0.03m,,0.01m,31st May 98  ,
2038,NCAA Football 08    ,PS2,Electronic Arts  ,EA Tiburon  ,N/A  ,N/A  ,N/A  ,0.79m,0.65m,0.03m,,0.11m,17th Jul 07  ,
2039,FIFA Soccer 2004    ,XB,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,0.79m,0.24m,0.49m,,0.05m,04th Nov 03  ,
2040,Final Fantasy XIV: A Realm Reborn    ,PS4,Square Enix  ,Square Enix  ,N/A  ,N/A  ,N/A  ,0.79m,0.35m,0.23m,0.08m,0.12m,14th Apr 14  ,23rd Jan 18
2041,MadWorld    ,Wii,Sega  ,PlatinumGames  ,8.7,8.1,8.1,0.78m,0.45m,0.24m,0.02m,0.07m,10th Mar 09  ,
2042,Tiger Woods PGA Tour 10    ,PS3,EA Sports  ,EA Tiburon  ,N/A  ,8.4,N/A  ,0.78m,0.42m,0.25m,,0.11m,08th Jun 09  ,
2043,Destiny: The Collection    ,PS4,Activision  ,Bungie  ,N/A  ,N/A  ,N/A  ,0.78m,0.24m,0.40m,0.02m,0.12m,19th Sep 16  ,14th Sep 18
2044,Shadow of the Tomb Raider    ,XOne,Square Enix  ,Eidos Montreal  ,N/A  ,N/A  ,N/A  ,0.78m,0.46m,0.25m,,0.07m,14th Sep 18  ,12th Sep 18
2045,Too Human    ,X360,Microsoft Game Studios  ,Silicon Knights  ,6.6,6.5,N/A  ,0.78m,0.38m,0.30m,0.03m,0.08m,19th Aug 08  ,
2046,Fight Night Champion    ,X360,EA Sports  ,EA Canada  ,N/A  ,8.4,N/A  ,0.78m,0.40m,0.31m,,0.07m,01st Mar 11  ,
2047,DJ Hero 2    ,PS3,Activision  ,FreeStyle Games  ,N/A  ,8.4,N/A  ,0.78m,0.49m,0.19m,,0.10m,19th Oct 10  ,
2048,Yars' Revenge    ,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,0.78m,0.73m,0.04m,,0.01m,01st May 82  ,
2049,Aliens: Colonial Marines    ,X360,Sega  ,Gearbox Software  ,N/A  ,N/A  ,N/A  ,0.78m,0.36m,0.35m,,0.07m,12th Feb 13  ,30th Jan 19
2050,Personal Trainer: Walking    ,DS,Nintendo  ,Creatures Inc.  ,N/A  ,N/A  ,N/A  ,0.78m,0.22m,0.32m,0.17m,0.07m,26th May 09  ,
2051,LEGO Jurassic World    ,XOne,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,0.78m,0.44m,0.27m,,0.07m,12th Jun 15  ,06th Apr 18
2052,Secret Agent Barbie: Royal Jewels Mission    ,GBA,VU Games  ,Digital Illusions  ,N/A  ,N/A  ,N/A  ,0.78m,0.56m,0.21m,,0.01m,08th Oct 02  ,
2053,Star Wars: The Force Unleashed II    ,Wii,LucasArts  ,LucasArts  ,6.3,7.5,N/A  ,0.78m,0.53m,0.19m,,0.06m,26th Oct 10  ,
2054,Doom    ,PS,GT Interactive  ,Williams Entertainment Inc.  ,N/A  ,N/A  ,N/A  ,0.78m,0.43m,0.30m,,0.05m,16th Nov 95  ,
2055,Naruto Shippuden: Ultimate Ninja Storm 2    ,X360,Namco Bandai  ,CyberConnect2  ,N/A  ,7.6,N/A  ,0.78m,0.43m,0.27m,0.01m,0.07m,19th Oct 10  ,
2056,Buzz! The Hollywood Quiz     ,PS2,Sony Computer Entertainment  ,Relentless Software  ,N/A  ,N/A  ,N/A  ,0.78m,0.17m,0.00m,,0.61m,11th Mar 08  ,
2057,Tom Clancy's Splinter Cell: Double Agent    ,X360,Ubisoft  ,Ubisoft Shanghai  ,N/A  ,8.5,8.3,0.78m,0.67m,0.04m,0.01m,0.06m,17th Oct 06  ,
2058,DJ Hero    ,Wii,Activision  ,FreeStyleGames  ,8,8.6,N/A  ,0.78m,0.47m,0.23m,,0.08m,27th Oct 09  ,
2059,Sid Meier's Civilization Revolution    ,PS3,2K Games  ,Firaxis Games  ,8.7,8.4,N/A  ,0.78m,0.49m,0.19m,0.01m,0.09m,08th Jul 08  ,
2060,Star Wars The Clone Wars: Jedi Alliance    ,DS,LucasArts  ,Krome Studios  ,N/A  ,N/A  ,N/A  ,0.78m,0.61m,0.11m,,0.06m,11th Nov 08  ,
2061,Marvel vs. Capcom: Clash of Super Heroes    ,PS,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,0.78m,0.43m,0.30m,,0.05m,27th Jan 00  ,
2062,Drawn to Life    ,DS,THQ  ,5TH Cell  ,N/A  ,N/A  ,N/A  ,0.78m,0.71m,0.01m,,0.06m,10th Sep 07  ,
2063,Battle Stations    ,PS,Electronic Arts  ,Realtime Associates  ,N/A  ,N/A  ,N/A  ,0.78m,0.43m,0.29m,,0.05m,31st Mar 97  ,
2064,Rayman Origins    ,X360,Ubisoft  ,Ubisoft  ,N/A  ,9,N/A  ,0.78m,0.38m,0.32m,,0.08m,15th Nov 11  ,
2065,Goldeneye 007: Reloaded    ,PS3,Activision  ,Eurocom  ,N/A  ,7.4,N/A  ,0.78m,0.33m,0.33m,,0.12m,01st Nov 11  ,
2066,F1 2016    ,PS4,Codemasters  ,Codemasters  ,N/A  ,N/A  ,N/A  ,0.78m,0.07m,0.56m,0.03m,0.11m,01st Jan 17  ,14th May 18
2067,Rare Replay    ,XOne,Microsoft Studios  ,Rare Ltd.  ,N/A  ,N/A  ,N/A  ,0.78m,0.42m,0.27m,0.01m,0.07m,04th Aug 15  ,25th Sep 18
2068,Need for Speed: ProStreet    ,PSP,Electronic Arts  ,EA Black Box  ,N/A  ,5.6,N/A  ,0.78m,0.24m,0.33m,0.01m,0.19m,18th Feb 08  ,
2069,NBA 2K7    ,PS2,2K Sports  ,Visual Concepts  ,N/A  ,8.2,N/A  ,0.78m,0.65m,0.02m,,0.11m,25th Sep 06  ,
2070,Torneko no Daibouken: Fushigi no Dungeon    ,SNES,ChunSoft  ,ChunSoft  ,N/A  ,N/A  ,N/A  ,0.78m,,,0.78m,,19th Sep 93  ,
2071,Jr. Pac-Man    ,2600,Atari  ,General Entertainment  ,N/A  ,N/A  ,N/A  ,0.78m,0.72m,0.05m,,0.01m,01st Jan 84  ,
2072,James Bond 007: Nightfire    ,GC,Electronic Arts  ,Eurocom Entertainment Software  ,N/A  ,8.1,N/A  ,0.78m,0.60m,0.16m,,0.02m,18th Nov 02  ,
2073,Mass Effect: Andromeda    ,XOne,Electronic Arts  ,BioWare Corp.  ,N/A  ,N/A  ,N/A  ,0.78m,0.50m,0.20m,,0.07m,21st Mar 17  ,03rd Jul 18
2074,Hitman    ,PS4,Square Enix  ,IO Interactive  ,N/A  ,N/A  ,N/A  ,0.78m,0.24m,0.36m,0.06m,0.11m,31st Jan 17  ,01st May 18
2075,Dragon Age: Inquisition    ,PC,Electronic Arts  ,BioWare Edmonton  ,N/A  ,N/A  ,N/A  ,0.78m,0.38m,0.33m,,0.07m,18th Nov 14  ,05th Jan 19
2076,NBA ShootOut 98    ,PS,Sony Computer Entertainment  ,Sony Interactive Studios America  ,N/A  ,N/A  ,N/A  ,0.78m,0.43m,0.29m,,0.05m,28th Feb 98  ,
2077,ABBA: You Can Dance    ,Wii,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,0.77m,0.18m,0.50m,,0.10m,15th Nov 11  ,
2078,Prototype 2    ,PS3,Activision  ,Radical Entertainment  ,N/A  ,N/A  ,N/A  ,0.77m,0.38m,0.28m,,0.11m,24th Apr 12  ,
2079,Galaxian    ,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,0.77m,0.72m,0.05m,,0.01m,01st Jan 83  ,
2080,Minecraft: Story Mode    ,XOne,Mojang  ,Telltale Games  ,N/A  ,N/A  ,N/A  ,0.77m,0.46m,0.24m,,0.07m,27th Oct 15  ,13th Jan 18
2081,Puzzler World    ,DS,Atari  ,Idea Pad  ,N/A  ,N/A  ,N/A  ,0.77m,0.41m,0.30m,,0.07m,08th Dec 09  ,
2082,Lips    ,X360,Microsoft Game Studios  ,iNiS  ,N/A  ,7.1,N/A  ,0.77m,0.12m,0.56m,,0.10m,18th Nov 08  ,
2083,Andretti Racing    ,PS,EA Sports  ,Stormfront Studios  ,N/A  ,7.3,N/A  ,0.77m,0.43m,0.29m,,0.05m,30th Nov 96  ,
2084,Caesars Palace 2000: Millennium Gold Edition    ,PS,Interplay  ,Runecraft  ,N/A  ,N/A  ,N/A  ,0.77m,0.43m,0.29m,,0.05m,29th Jun 00  ,
2085,UFC Personal Trainer: The Ultimate Fitness System    ,X360,THQ  ,THQ  ,N/A  ,6,N/A  ,0.77m,0.53m,0.18m,,0.06m,28th Jun 11  ,
2086,Air Raid    ,2600,Men-A-Vision  ,Men-A-Vision  ,N/A  ,N/A  ,N/A  ,0.77m,0.72m,0.04m,,0.01m,01st Jan 82  ,
2087,Marvel Nemesis: Rise of the Imperfects    ,PS2,Electronic Arts  ,Nihilistic Software  ,N/A  ,N/A  ,N/A  ,0.77m,0.64m,0.02m,,0.10m,20th Sep 05  ,
2088,Boxing    ,2600,Activision  ,Activision  ,N/A  ,N/A  ,N/A  ,0.77m,0.72m,0.04m,,0.01m,17th Jun 80  ,
2089,Resident Evil: Operation Raccoon City    ,X360,Capcom  ,Slant Six Games  ,N/A  ,N/A  ,N/A  ,0.77m,0.55m,0.14m,0.03m,0.06m,20th Mar 12  ,
2090,Need for Speed: Porsche Unleashed    ,PS,Electronic Arts  ,Eden Studios  ,N/A  ,N/A  ,N/A  ,0.77m,0.43m,0.29m,,0.05m,29th Feb 00  ,
2091,Ghost Squad     ,Wii,Sega  ,Polygon Magic  ,N/A  ,7,N/A  ,0.77m,0.42m,0.21m,0.08m,0.07m,20th Nov 07  ,
2092,Star Wars Battlefront: Elite Squadron    ,PSP,LucasArts  ,Savage Entertainment  ,N/A  ,6,N/A  ,0.77m,0.38m,0.24m,,0.16m,03rd Nov 09  ,
2093,James Cameron's Avatar: The Game    ,X360,Ubisoft  ,Ubisoft Montreal  ,N/A  ,6,N/A  ,0.77m,0.34m,0.35m,,0.08m,01st Dec 09  ,
2094,Crystal Castles    ,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,0.77m,0.72m,0.04m,,0.01m,01st Jan 84  ,
2095,Conker's Bad Fur Day    ,N64,Rare  ,Rare Ltd.  ,N/A  ,9.2,N/A  ,0.77m,0.53m,0.22m,,0.02m,04th Mar 01  ,
2096,Fortnite    ,XOne,Gearbox Software  ,Epic Games  ,N/A  ,N/A  ,N/A  ,0.77m,0.60m,0.09m,,0.08m,21st Jul 17  ,19th Jun 18
2097,Dragon Warrior I&II    ,GB,Enix  ,TOSE  ,N/A  ,N/A  ,N/A  ,0.77m,,,0.77m,,27th Sep 00  ,
2098,Star Wars Episode II: Attack of the Clones    ,GBA,THQ  ,David A. Palmer Productions  ,N/A  ,N/A  ,N/A  ,0.77m,0.55m,0.20m,,0.01m,30th May 02  ,
2099,The Sims 3    ,3DS,Electronic Arts  ,The Sims Studio  ,N/A  ,5.6,N/A  ,0.77m,0.30m,0.38m,0.03m,0.07m,27th Mar 11  ,
2100,Twisted Metal: Head On    ,PSP,Sony Computer Entertainment  ,Incognito Inc.  ,N/A  ,7.5,N/A  ,0.77m,0.71m,0.00m,,0.06m,24th Mar 05  ,
2101,Tetris Party Deluxe    ,DS,Majesco  ,"Tetris Online, Inc  ",N/A  ,N/A  ,N/A  ,0.77m,0.28m,0.30m,0.12m,0.07m,01st Jun 10  ,
2102,Dragon Ball: Raging Blast    ,PS3,Namco Bandai  ,Spike  ,N/A  ,5.6,N/A  ,0.77m,0.37m,0.19m,0.11m,0.10m,10th Nov 09  ,
2103,Need for Speed: Undercover    ,PSP,Electronic Arts  ,Piranha Games  ,N/A  ,5.4,N/A  ,0.77m,0.23m,0.32m,0.03m,0.19m,17th Nov 08  ,
2104,Conflict: Desert Storm II - Back to Bagdhad    ,PS2,Gotham Games  ,Pivotal Games  ,N/A  ,N/A  ,N/A  ,0.77m,0.38m,0.29m,,0.10m,08th Oct 03  ,
2105,Maximo: Ghosts to Glory    ,PS2,Capcom  ,Capcom  ,N/A  ,8.7,N/A  ,0.77m,0.38m,0.29m,,0.10m,11th Feb 02  ,
2106,Battlefield 1    ,PC,Electronic Arts  ,EA DICE  ,N/A  ,9.1,N/A  ,0.77m,0.30m,0.41m,,0.06m,21st Oct 16  ,
2107,Donkey Kong Country 3    ,GBA,Nintendo  ,Rare Ltd.  ,N/A  ,7.5,N/A  ,0.77m,0.45m,0.17m,0.14m,0.01m,07th Nov 05  ,
2108,All-Star Baseball 2003    ,PS2,Acclaim Entertainment  ,Acclaim Entertainment  ,N/A  ,N/A  ,N/A  ,0.77m,0.38m,0.29m,,0.10m,26th Feb 02  ,
2109,Persona 4 Arena    ,PS3,Atlus  ,Arc System Works  ,8.9,N/A  ,N/A  ,0.77m,0.32m,0.12m,0.24m,0.08m,07th Aug 12  ,11th Jan 18
2110,Pokémon Dash    ,DS,Nintendo  ,Ambrella  ,N/A  ,5.3,N/A  ,0.77m,0.21m,0.14m,0.38m,0.04m,14th Mar 05  ,
2111,Sonic & SEGA All-Stars Racing with Banjo-Kazooie    ,X360,Sega  ,Sumo Digital  ,8,7.7,N/A  ,0.77m,0.37m,0.32m,,0.07m,23rd Feb 10  ,
2112,My Baby Girl    ,DS,SouthPeak Interactive  ,Dancing Dots  ,N/A  ,N/A  ,N/A  ,0.76m,0.61m,0.09m,,0.06m,04th Nov 08  ,
2113,Lego Marvel Super Heroes    ,WiiU,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,0.76m,0.31m,0.36m,0.03m,0.06m,22nd Oct 13  ,01st Dec 18
2114,FIFA Soccer 12    ,Wii,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,0.76m,0.15m,0.51m,,0.10m,27th Sep 11  ,
2115,Cabela's Deer Hunt: 2004 Season    ,PS2,Activision  ,Sand Grain Studios  ,N/A  ,N/A  ,N/A  ,0.76m,0.37m,0.29m,,0.10m,27th Aug 03  ,
2116,Sonic Unleashed    ,PS2,Sega  ,Sonic Team/Dimps Corporation  ,N/A  ,7,N/A  ,0.76m,0.37m,0.04m,,0.36m,18th Nov 08  ,
2117,Formula 1    ,PS,Sony Computer Entertainment  ,Bizarre Creations  ,N/A  ,N/A  ,N/A  ,0.76m,0.18m,0.12m,0.42m,0.05m,30th Sep 96  ,
2118,Resident Evil: Revelations    ,PS3,Capcom  ,Capcom  ,N/A  ,7.6,N/A  ,0.76m,0.14m,0.32m,0.22m,0.09m,21st May 13  ,16th Mar 18
2119,Pro Evolution Soccer 2015    ,PS4,Konami Digital Entertainment  ,PES Productions  ,8,N/A  ,N/A  ,0.76m,0.09m,0.45m,0.12m,0.10m,11th Nov 14  ,14th Apr 18
2120,Banjo-Kazooie: Nuts & Bolts    ,X360,Microsoft Game Studios  ,Rare Ltd.  ,N/A  ,8,N/A  ,0.76m,0.32m,0.35m,0.00m,0.08m,12th Nov 08  ,
2121,Driv3r    ,XB,Atari  ,Reflections Interactive  ,N/A  ,N/A  ,N/A  ,0.76m,0.36m,0.38m,,0.03m,21st Jun 04  ,
2122,Mercenaries: Playground of Destruction    ,PS2,LucasArts  ,Pandemic Studios  ,N/A  ,N/A  ,N/A  ,0.76m,0.64m,0.02m,,0.10m,10th Jan 05  ,
2123,MTV Celebrity Deathmatch    ,PS2,Gotham Games  ,Big Ape Productions  ,N/A  ,N/A  ,N/A  ,0.76m,0.37m,0.29m,,0.10m,14th Oct 03  ,
2124,Street Fighter Alpha: Warriors' Dreams    ,PS,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,0.76m,0.17m,0.11m,0.43m,0.05m,21st Dec 95  ,
2125,ISS Pro Evolution    ,PS,Konami  ,KCET  ,N/A  ,N/A  ,N/A  ,0.76m,,,0.71m,0.05m,06th Jun 00  ,
2126,Just Dance 2019    ,NS,Ubisoft  ,Ubisoft Paris  ,N/A  ,N/A  ,N/A  ,0.76m,0.43m,0.26m,,0.07m,23rd Oct 18  ,28th Sep 18
